ID,MIN_TEMPERATURE,MAX_TEMPERATURE,MEAN_TEMPERATURE,TOTAL_PRECIPITATION,SPEED_MAX_GUST
1012710.2016.12.15,-0.6,1.9,0.7,,0
1012710.2016.12.16,-2.1,1.2,-0.5,,0
1012710.2016.12.17,-2.3,1.4,-0.5,,0
1012710.2016.12.18,0.9,4.1,2.5,0.6,0
1012710.2016.12.19,2.5,8.8,5.7,18.2,41
1012710.2016.12.20,5.7,8.8,7.3,9,78
1012710.2016.12.21,3.5,8.3,5.9,0,0
1012710.2016.12.22,3.3,7.4,5.4,0.6,0
1012710.2016.12.23,1.6,5.1,3.4,14.4,0
1012710.2016.12.24,0.4,4.5,2.5,2.4,0
1012710.2016.12.25,0.7,3.4,2.1,0,0
1012710.2016.12.26,1.8,6,3.9,5.8,0
1012710.2016.12.27,4.4,7.8,6.1,3.8,44
1012710.2016.12.28,4.5,7.2,5.9,0,35
1012710.2016.12.29,4.7,7.5,6.1,6.6,46
1012710.2016.12.30,0.5,6.6,3.6,0,0
1012710.2016.12.31,-0.3,5.5,2.6,,32
1012710.2017.1.1,0,4.9,2.5,,57
1012710.2017.1.2,-0.4,2.2,0.9,,61
1012710.2017.1.3,-1.7,0.2,-0.8,,57
1012710.2017.1.4,-1.1,4,1.5,,56
1012710.2017.1.5,-2.5,3.2,0.4,,0
1012710.2017.1.6,-0.7,4.6,2,,0
1012710.2017.1.7,1.1,4.9,3,0,0
1012710.2017.1.8,1.6,5.4,3.5,1.8,43
1012710.2017.1.9,3.4,7.1,5.3,5.6,61
1012710.2017.1.10,-0.4,5,2.3,,74
1012710.2017.1.11,-0.9,2.4,0.8,,69
1012710.2017.1.12,-3.3,2.5,-0.4,,0
1012710.2017.1.13,-1.4,2.3,0.5,,0
1012710.2017.1.14,-1,4.3,1.7,,0
1012710.2017.1.15,-0.1,5.8,2.9,,0
1012710.2017.1.16,2.8,6.8,4.8,0.2,0
1012710.2017.1.17,5.1,9.7,7.4,8.2,0
1012710.2017.1.18,6.9,10.4,8.7,12.2,0
1012710.2017.1.19,5.8,8.9,7.4,8,0
1012710.2017.1.20,5,8.1,6.6,0,32
1012710.2017.1.21,5.4,9.4,7.4,0,0
1012710.2017.1.22,5.7,8.2,7,0,0
1012710.2017.1.23,2.2,7.2,4.7,0,0
1012710.2017.1.24,0.7,7.2,4,0.2,0
1012710.2017.1.25,3.9,7.1,5.5,0,0
1012710.2017.1.26,3.5,7.7,5.6,0,0
1012710.2017.1.27,5.2,8.6,6.9,0,0
1012710.2017.1.28,3.2,8.1,5.7,0,0
1012710.2017.1.29,2.6,10.1,6.4,1.4,41
1012710.2017.1.30,1.5,7.6,4.6,0,0
1012710.2017.1.31,1.4,5.7,3.6,0.2,46
1012710.2017.2.1,2.2,5.4,3.8,0,61
1012710.2017.2.2,2.3,6.2,4.3,0,32
1012710.2017.2.3,0,5.1,2.6,,33
1012710.2017.2.4,1.7,4.3,3,6.2,0
1012710.2017.2.5,0.1,4.9,2.5,,46
1012710.2017.2.6,-1.6,0.6,-0.5,,43
1012710.2017.2.7,-0.5,2,0.8,,44
1012710.2017.2.8,-1,1.1,0.1,,43
1012710.2017.2.9,0.8,11.1,6,14.2,65
1012710.2017.2.10,3.7,9.5,6.6,5.6,61
1012710.2017.2.11,2.4,7.5,5,0.6,0
1012710.2017.2.12,2.2,8.1,5.2,0,0
1012710.2017.2.13,1.8,10.4,6.1,0,37
1012710.2017.2.14,2.4,9.9,6.2,0.8,0
1012710.2017.2.15,7.1,10.7,8.9,8.4,33
1012710.2017.2.16,7.8,10.9,9.4,1.8,50
1012710.2017.2.17,5,9.1,7.1,0,37
1012710.2017.2.18,3.6,7.2,5.4,0.6,0
1012710.2017.2.19,5,9.3,7.2,0.2,0
1012710.2017.2.20,3.8,8.5,6.2,0.2,0
1012710.2017.2.21,3.6,8.8,6.2,0,48
